X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid,shape
1001501.8705,1010204.5189,1,001A00,00,C.C. Iserra 100,AC 100,AC 100 - KR 54,Barrios Unidos,-74.06397139,4.68848077,001,M,AC 100 - KR 54 (001A00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,C,{1C0DBC4E-15BC-4BBE-BC16-5628077DBE2E},
1003505.2964,1009719.1501,2,001A01,01,Br. Rincón del Chicó,AC 100,AC 100 - KR 13,Usaquén,-74.04591449,4.68409095,001,M,AC 100 - KR 13 (001A01),AC 100 - KR 13,Avenida Calle 100 Carrera 13,B,{60A22A44-AD56-4DF4-A3E6-6830B9FB0792},
1001237.8229,1018098.4923,3,001A02,02,Gimnasio Iragua,AV. Boyacá,AV. Boyacá - AC 170,Suba,-74.06635014,4.75986663,001,S,AV. Boyacá - AC 170 (001A02),AV. Boyacá - AC 170,Avenida Boyacá Avenida Calle 170,C,{97155274-E4D5-45A4-891F-2DCA19FF10D9},
1000673.3223,1010317.6539,4,001A03,03,Br. Julio Flórez,AC 100,AC 100 - KR 66A,Suba,-74.07143918,4.68950396,001,M,AC 100 - KR 66A  (001A03),AC 100 - KR 66A,Avenida Calle 100 Carrera 66 A,D,{B985CE20-6632-44CF-B18D-9E1B6F6DFCAA},
999680.0046,1009557.0743,5,001A04,04,Avenida Calle 80,AK 68,AK 68 - CL 79D,Barrios Unidos,-74.08039205,4.682626,001,M,AK 68 - CL 79D (001A04),AK 68 - CL 79D,Avenida Carrera 68 Calle 79 D,D,{58BD61D6-11E8-41C7-8182-29D630599B5E},
999237.1042,1006162.2762,6,001A05,05,Br. Pablo VI Norte,AK 50,AK 50 - CL 59,Teusaquillo,-74.08438362,4.65192649,001,S,AK 50 - CL 59 (001A05),AK 50 - CL 59,Avenida Carrera 50 Calle 59,K,{DD06A226-6D9F-4B8F-81C3-321B592E65DB},
995537.7686,1004634.5489,7,001A06,06,Avenida Calle 13,AK 68,AK 68 - AC 13,Fontibón,-74.11772364,4.63810999,001,M,AK 68 - AC 13 (001A06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,K,{0426991E-A517-4DC2-AD8C-62773F4642D8},
996615.2541,1003239.0415,8,001A07,07,Br. San Francisco,AK 50,AK 50 - TV 49,Puente Aranda,-74.10801229,4.62549076,001,S,AK 50 - TV 49 (001A07),AK 50 - TV 49,Avenida Carrera 50 Transversal 49,F,{E65DCC0F-10D7-4E62-A17D-F7CD6B869E30},
994616.9323,1002570.8518,9,001A08,08,Br. Hipotecho Sur,AK 68,AK 68 - CL 3 Sur,Kennedy,-74.12602137,4.61944725,001,M,AK 68 - CL 3 Sur (001A08),AK 68 - CL 3 Sur,Avenida Carrera 68 Calle Tercera Sur,F,{2E4FAB3B-A820-405C-B79F-88CCA39D9C18},
993479.2455,1000235.4742,10,001A09,09,Br. Alquería La Fragua II,AK 68,AK 68 - CL 39I Sur,Kennedy,-74.13627273,4.59832741,001,M,AK 68 - CL 39I Sur (001A09),AK 68 - CL 39I Sur,Avenida Carrera 68 Calle 39 I Sur,G,{2B415A5D-26F4-44CB-A5F3-F01A3AEE5073},
992448.8301,999307.4098,11,001A10,10,Pq. Lagunetas,AV. Boyacá,AV. Boyacá - DG 50A Sur,Tunjuelito,-74.145558,4.589934,001,M,AV. Boyacá - DG 50A Sur (001A10),AV. Boyacá - DG 50A Sur,Avenida Boyacá Diagonal 50 A Sur,H,{E41C4051-7472-4327-9128-62823A59688A},
992914.2817,997925.257200001,12,001A11,11,Br. Arborizadora Baja,AV. Boyacá,AV. Boyacá - KR 25,Tunjuelito,-74.14136231,4.57743543,001,M,AV. Boyacá - KR 25 (001A11),AV. Boyacá - KR 25,Avenida Boyacá Carrera 25,H,{7314E029-B9AB-4AEE-8D5F-C0B62559B2D6},
994875.6349,997496.7073,13,001A12,12,Funeraria Claret,AV. Caracas,AV. Caracas - CL 45 Sur,Rafael Uribe,-74.12368693,4.57356137,001,S,AV. Caracas - CL 45 Sur (001A12),AV. Caracas - CL 45 Sur,Avenida Caracas Calle 45 Sur,H,{24DDE387-4BBD-4193-A33E-D26F3D3E4CC4},
998673.1645,997232.3486,14,001A13,13,Avenida 1 de Mayo,AV. 1 de Mayo,AV. 1 de Mayo - KR 2,San Cristóbal,-74.08946486,4.57117213,001,S,AV. 1 de Mayo - KR 2 (001A13),AV. 1 de Mayo - KR 2,Avenida Primero de Mayo Carrera Segunda,L,{48E34F13-20E1-4E90-9E95-E7029A687A7C},
1001478.8155,1010210.2484,15,001B00,00,C.C. Iserra 100,AC 100,AC 100 - KR 54,Barrios Unidos,-74.06417919,4.68853259,001,M,AC 100 - KR 54 (001B00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,C,{A7DA5D40-A3A2-4D06-8162-F1BC86C87D2A},
1003598.6941,1009675.2194,16,001B01,01,Br. Rincón del Chicó,AC 100,AC 100 - KR 11B,Usaquén,-74.04507271,4.68369365,001,M,AC 100 - KR 11B (001B01),AC 100 - KR 11B,Avenida Calle 100 Carrera 11 Be,B,{F0A16CE5-118C-4951-8F05-5199E321D451},
1000751.278,1010337.831,17,001B03,03,Br. Julio Flórez,AC 100,AC 100 - KR 65,Suba,-74.07073655,4.68968642,001,M,AC 100 - KR 65 (001B03),AC 100 - KR 65,Avenida Calle 100 Carrera 65,D,{AD5BF03F-9FE8-4C5B-A4D9-AD1693B7C11F},
999659.414,1009538.9016,18,001B04,04,Avenida Calle 80,AK 68,AK 68 - CL 79A,Barrios Unidos,-74.08057763,4.68246166,001,M,AK 68 - CL 79A (001B04),AK 68 - CL 79A,Avenida Carrera 68 Calle 79 A,D,{8D1D7A5D-2F69-4CA7-B299-AE42177E0CC7},
995560.9482,1004658.4446,19,001B06,06,Avenida Calle 13,AK 68,AK 68 - AC 13,Fontibón,-74.11751474,4.63832609,001,M,AK 68 - AC 13 (001B06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,K,{11B1102E-45D0-4369-A831-7761F3D64C65},
994630.9951,1002625.0045,20,001B08,08,Br. Hipotecho Sur,AK 68,AK 68- CL 1 Sur,Kennedy,-74.12589467,4.61993697,001,M,AK 68- CL 1 Sur (001B08),AK 68- CL 1 Sur,Avenida Carrera 68 Calle Primera Sur,F,{DE3D9590-81FD-4F0A-A1F5-1A968E8540E7},
993458.4003,1000207.7174,21,001B09,09,Br. Alquería La Fragua II,AK 68,AK 68 - CL  39G Sur,Kennedy,-74.13646057,4.59807639,001,M,AK 68 - CL  39G Sur (001B09),AK 68 - CL  39G Sur,Avenida Carrera 68 Calle 39 G Sur,G,{54C9F51A-DFEA-4EFE-8E5A-84877A71F602},
992450.1671,999364.1379,22,001B10,10,Pq. Lagunetas,AV. Boyacá,AV. Boyacá - DG 51 Sur,Tunjuelito,-74.145546,4.590447,001,M,AV. Boyacá - DG 51 Sur (001B10),AV. Boyacá - DG 51 Sur,Avenida Boyacá Diagonal 51 Sur,H,{27033392-6873-40D6-BC98-8BFA7E40C434},
992867.5919,998015.4857,23,001B11,11,Br. Arborizadora Baja,AV. Boyacá,AV. Boyacá - KR 29,Tunjuelito,-74.14178313,4.57825134,001,M,AV. Boyacá - KR 29 (001B11),AV. Boyacá - KR 29,Avenida Boyacá Carrera 29,H,{08B3B248-230C-41D1-82ED-15BACCF85F47},
1001456.1903,1010218.557,24,001C00,00,C.C. Iserra 100,AC 100,AC 100 - KR 54,Barrios Unidos,-74.06438311,4.68860773,001,M,AC 100 - KR 54 (001C00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,C,{BEBF53AF-81B5-4B75-9A5C-96611E2D92F2},
1000776.3446,1010342.8867,25,001C03,03,Br. Julio Flórez,AC 100,AC 100 - KR 65,Suba,-74.07051062,4.68973214,001,M,AC 100 - KR 65 (001C03),AC 100 - KR 65,Avenida Calle 100 Carrera 65,D,{1EB22404-76C8-40EC-AF0F-4CCCC55F5872},
999619.2284,1009508.264,26,001C04,04,AC 80,AK 68,AK 68 - CL 78,Barrios Unidos,-74.08093982,4.6821846,001,M,AK 68 - CL 78 (001C04),AK 68 - CL 78,Avenida Carrera 68 Calle 78,D,{C31ADDD7-0673-472D-8EDA-FA53E19F5F45},
